Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения
Румынская тяга 1,20,0,10,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/поясница,4.6
Жим Арнольда 1,20,0,15,4,60,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",предплечья,4.7
Подъём ног в висе 1,5,0,15,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.3
Бег на месте 1,40,0,10,4,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",спина/бицепс,4.3
Бёрпи 1,50,0,15,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",спина/поясница,4.3
Прыжки на скакалке 1,20,0,12,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",ноги/ягодицы,4.2
Альпинист 1,5,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",приводящие,4.5
Скакалка двойные прыжки 1,10,0,15,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",икры,4.1
Жим штанги лёжа 2,40,0,10,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",приводящие,4.7
Становая тяга 2,30,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,4.7
Приседания со штангой 2,50,0,15,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.8
Подтягивания широким хватом 2,30,0,12,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/трицепс,4.1
Отжимания от пола 2,30,0,12,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.6
Сгибание рук с гантелями 2,5,0,15,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.1
Разгибание ног в тренажёре 2,40,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.3
Планка 2,50,0,15,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.6
Подъём корпуса на пресс 2,40,0,10,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",приводящие,4.5
Разведение рук с гантелями лёжа 2,50,0,15,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",ноги/ягодицы,4.6
Жим гантелей сидя 2,40,0,12,3,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",пресс,4.9
Тяга верхнего блока 2,50,0,12,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/поясница,4.6
Гиперэкстензия 2,10,0,15,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",ноги/ягодицы,4.0
Выпады с гантелями 2,40,0,10,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.9
Скручивания на полу 2,50,0,15,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",грудь/плечи,4.3
Тяга в наклоне 2,40,0,10,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",приводящие,4.6
Жим ногами в тренажёре 2,30,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",плечи/трапеции,4.7
Фронтальные приседания 2,5,0,12,4,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",приводящие,4.3
Махи гирей 2,50,0,15,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/плечи,4.8
Русский твист 2,30,0,12,4,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",икры,4.2
Подъем на носки стоя 2,20,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.6
Тяга штанги к подбородку 2,40,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",икры,5.0
Пулловер с гантелью 2,20,0,10,4,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.1
Отжимания на брусьях 2,5,0,10,4,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/плечи,4.9
Румынская тяга 2,40,0,15,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/поясница,4.5
Жим Арнольда 2,20,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/поясница,4.5
Подъём ног в висе 2,10,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",приводящие,4.4
Бег на месте 2,5,0,15,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",ноги/ягодицы,4.8
Бёрпи 2,40,0,12,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",грудь/плечи,4.1
Прыжки на скакалке 2,5,0,15,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",предплечья,4.1
Альпинист 2,30,0,10,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",спина/поясница,4.6
Скакалка двойные прыжки 2,40,0,12,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.3
Жим штанги лёжа 3,40,0,15,4,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",плечи/трапеции,4.3
Становая тяга 3,50,0,15,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.1
Приседания со штангой 3,0,0,12,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",предплечья,4.6
Подтягивания широким хватом 3,50,0,15,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,5.0
Отжимания от пола 3,50,0,10,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",предплечья,4.5
Сгибание рук с гантелями 3,0,60,0,0,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",ноги/ягодицы,4.8
Разгибание ног в тренажёре 3,10,0,12,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.8
Планка 3,10,0,12,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.8
Подъём корпуса на пресс 3,10,0,15,4,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",предплечья,5.0
Разведение рук с гантелями лёжа 3,10,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/бицепс,4.2
Жим гантелей сидя 3,0,30,0,0,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",ноги/ягодицы,5.0
Тяга верхнего блока 3,5,0,15,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.7
Гиперэкстензия 3,50,0,10,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.7
Выпады с гантелями 3,5,0,12,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,4.2
Скручивания на полу 3,10,0,10,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",икры,4.0
Тяга в наклоне 3,10,0,10,3,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",приводящие,4.5
Жим ногами в тренажёре 3,5,0,12,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",плечи/трапеции,4.2
Фронтальные приседания 3,20,0,12,3,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",икры,4.7
Махи гирей 3,20,0,15,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",приводящие,4.2
Русский твист 3,5,0,10,4,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",грудь/плечи,4.6
Подъем на носки стоя 3,40,0,10,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/бицепс,4.2
Тяга штанги к подбородку 3,40,0,12,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",грудь/плечи,5.0
Пулловер с гантелью 3,40,0,15,4,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/поясница,4.6
Отжимания на брусьях 3,0,0,15,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",ноги/ягодицы,4.8
Румынская тяга 3,30,0,15,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.5
Жим Арнольда 3,50,0,12,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",плечи/трапеции,4.3
Подъём ног в висе 3,30,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/поясница,4.8
Бег на месте 3,10,0,15,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",ноги/ягодицы,4.8
Бёрпи 3,10,0,10,4,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",икры,4.6
Прыжки на скакалке 3,30,0,15,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.8
Альпинист 3,40,0,10,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",икры,4.4
Скакалка двойные прыжки 3,40,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.8
Жим штанги лёжа 4,5,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.6
Становая тяга 4,30,0,15,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/бицепс,4.1
Приседания со штангой 4,10,0,10,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",предплечья,4.7
Подтягивания широким хватом 4,50,0,12,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",икры,4.2
Отжимания от пола 4,0,30,0,0,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.7
Сгибание рук с гантелями 4,20,0,12,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",ноги/ягодицы,4.3
Разгибание ног в тренажёре 4,50,0,10,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.8
Планка 4,30,0,10,3,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",пресс,4.1
Подъём корпуса на пресс 4,40,0,15,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",предплечья,4.9
Разведение рук с гантелями лёжа 4,50,0,12,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.3
Жим гантелей сидя 4,5,0,15,4,60,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",грудь/плечи,4.9
Тяга верхнего блока 4,10,0,12,4,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",плечи/трапеции,4.9
Гиперэкстензия 4,40,0,15,4,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.5
Выпады с гантелями 4,30,0,12,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/трицепс,4.9
Скручивания на полу 4,40,0,12,3,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/поясница,4.9
Тяга в наклоне 4,5,0,10,4,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",икры,4.1
Жим ногами в тренажёре 4,40,0,10,4,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/трицепс,4.0
Фронтальные приседания 4,0,30,0,0,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,5.0
Махи гирей 4,20,0,10,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",икры,4.4
Русский твист 4,10,0,10,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",пресс,4.5
Подъем на носки стоя 4,40,0,12,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.1
Тяга штанги к подбородку 4,20,0,10,3,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.9
Пулловер с гантелью 4,50,0,15,4,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",приводящие,4.6
Отжимания на брусьях 4,40,0,15,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",приводящие,4.3
Румынская тяга 4,0,60,0,0,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.2
Жим Арнольда 4,10,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/плечи,4.7
Подъём ног в висе 4,50,0,12,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.3
Бег на месте 4,20,0,10,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",грудь/плечи,4.8
Бёрпи 4,40,0,10,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",предплечья,4.6
Прыжки на скакалке 4,30,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",предплечья,4.1
Альпинист 4,5,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.2
Скакалка двойные прыжки 4,20,0,10,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/бицепс,4.2
Жим штанги лёжа 5,20,0,15,3,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",плечи/трапеции,4.3
Становая тяга 5,0,0,15,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.4
Приседания со штангой 5,5,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/бицепс,4.8
Подтягивания широким хватом 5,10,0,15,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.1
Отжимания от пола 5,30,0,15,3,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.8
Сгибание рук с гантелями 5,5,0,15,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",предплечья,5.0
Разгибание ног в тренажёре 5,30,0,12,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",спина/бицепс,4.8
Планка 5,10,0,12,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.0
Подъём корпуса на пресс 5,10,0,10,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",грудь/трицепс,4.8
Разведение рук с гантелями лёжа 5,10,0,10,3,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",спина/поясница,5.0
Жим гантелей сидя 5,40,0,15,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.7
Тяга верхнего блока 5,40,0,12,3,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",приводящие,4.5
Гиперэкстензия 5,20,0,12,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.2
Выпады с гантелями 5,40,0,12,4,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",приводящие,5.0
Скручивания на полу 5,50,0,10,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/поясница,4.4
Тяга в наклоне 5,5,0,15,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.0
Жим ногами в тренажёре 5,10,0,10,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",пресс,4.7
Фронтальные приседания 5,10,0,15,4,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",пресс,5.0
Махи гирей 5,5,0,15,4,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",плечи/трапеции,4.6
Русский твист 5,50,0,15,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",приводящие,4.4
Подъем на носки стоя 5,20,0,10,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",предплечья,4.8
Тяга штанги к подбородку 5,20,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/бицепс,4.9
Пулловер с гантелью 5,20,0,15,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",приводящие,4.1
Отжимания на брусьях 5,5,0,12,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.4
Румынская тяга 5,20,0,15,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/трицепс,4.6
Жим Арнольда 5,0,0,12,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.9
Подъём ног в висе 5,30,0,12,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/поясница,4.2
Бег на месте 5,0,0,10,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.3
Бёрпи 5,10,0,15,4,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/бицепс,4.3
Прыжки на скакалке 5,40,0,12,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",пресс,4.0
Альпинист 5,5,0,10,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.0
Скакалка двойные прыжки 5,0,30,0,0,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/плечи,4.7
Жим штанги лёжа 6,30,0,15,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/поясница,4.6
Становая тяга 6,0,60,0,0,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/бицепс,4.9
Приседания со штангой 6,40,0,10,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",плечи/трапеции,5.0
Подтягивания широким хватом 6,10,0,15,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.7
Отжимания от пола 6,20,0,15,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.2
Сгибание рук с гантелями 6,0,60,0,0,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.3
Разгибание ног в тренажёре 6,0,0,12,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",плечи/трапеции,4.9
Планка 6,20,0,12,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",приводящие,4.7
Подъём корпуса на пресс 6,0,60,0,0,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.7
Разведение рук с гантелями лёжа 6,20,0,12,3,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/бицепс,4.5
Жим гантелей сидя 6,5,0,12,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.7
Тяга верхнего блока 6,30,0,12,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/трицепс,4.8
Гиперэкстензия 6,40,0,15,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",спина/бицепс,4.6
Выпады с гантелями 6,30,0,10,3,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.2
Скручивания на полу 6,10,0,12,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/бицепс,4.5
Тяга в наклоне 6,20,0,15,3,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",предплечья,4.3
Жим ногами в тренажёре 6,40,0,10,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.7
Фронтальные приседания 6,20,0,12,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",предплечья,4.2
Махи гирей 6,30,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.7
Русский твист 6,40,0,10,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.4
Подъем на носки стоя 6,20,0,15,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/поясница,4.2
Тяга штанги к подбородку 6,50,0,12,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.7
Пулловер с гантелью 6,5,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.1
Отжимания на брусьях 6,30,0,10,4,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",икры,4.6
Румынская тяга 6,40,0,15,4,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.3
Жим Арнольда 6,30,0,12,4,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/поясница,4.3
