Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения,Оригинальное название на английском,Сложность,Частые ошибки
Концентрированный подъём на бицепс,4,0,8,5,180,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо.",бицепс,4.0,Concentration curl,Новичок,Движение плечом; потеря фиксации локтя; скручивание корпуса.
Французский жим,40,0,6,3,120,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса.",трицепс,3.6,Lying triceps extension,Средний,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице.
Разгибания на блоке,20,0,15,3,60,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки.",трицепс,5.0,Triceps pushdown,Новичок,Локти уходят от корпуса; раскачка; перегиб кистей.
Отжимания на брусьях,0,0,15,3,90,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх.",грудь/трицепс,4.3,Dip,Средний,Сильный провал в плечах; чрезмерная глубина; разброс локтей.
Отжимания,0,0,15,4,90,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх.",грудь/плечи/трицепс,5.0,Push-up,Новичок,Провисание корпуса; локти сильно в стороны; неполная амплитуда.
Скручивания,0,0,10,4,180,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху.",пресс,3.8,Crunch,Новичок,Тянуть шею руками; рывки; большой размах вместо подкручивания.
Подъём ног в висе,0,0,10,3,180,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно.",нижний пресс,3.6,Hanging leg raise,Средний,Махи ногами; прогиб поясницы; отсутствие подкрутки таза.
Планка,0,90,0,3,90,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте.",кор,3.6,Plank,Новичок,Провисание поясницы; поднятый таз; разведение лопаток.
Русский твист,0,30,0,4,150,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам.",косые мышцы живота,4.4,Russian twist,Новичок,Скругление спины; вращение одними руками; слишком быстрый темп.
Берпи,0,30,0,4,150,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой.",всё тело/кардио,4.5,Burpee,Средний,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху.
Скакалка,0,40,0,4,150,Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично.,кардио/икры,3.6,Jump rope,Новичок,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку.
Тяга каната к лицу,10,0,10,3,90,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко.",задняя дельта/верх спины,4.3,Face pull,Новичок,Локти низко; тянуть руками без лопаток; нет разведения кистей.
Обратные разведения в тренажёре,30,0,8,4,90,"Сядьте лицом к тренажёру; разводите рукояти, сводя лопатки, удерживайте паузу и возвращайте контролируемо.",задняя дельта,3.9,Reverse pec deck,Новичок,Работает трапеция вместо дельт; рывки; нет паузы в пик-сокращении.
Тяга гантели в наклоне,4,0,6,4,180,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка.",широчайшие/средняя спина,4.5,Dumbbell row,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу.
Хип-траст,30,0,15,3,60,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте.",ягодицы,4.1,Hip thrust,Новичок,Чрезмерный прогиб; короткая пауза; неверная постановка стоп.
Ягодичный мост,0,0,12,3,150,"Лягте на спину, стопы ближе к тазу; поднимайте таз, сжимая ягодицы, опускайте, сохраняя нейтральную спину.",ягодицы,3.5,Glute bridge,Новичок,Толчок поясницей; неполная амплитуда; колени гуляют.
Трастеры,40,45,0,4,150,"Присядьте со штангой на груди и взрывно выжмите её над головой, возвращаясь в стойку контролируемо.",всё тело,4.5,Thruster,Продвинутый,Ранний пресс до выпрямления ног; дуга грифа; колени заваливаются.
Жим Арнольда,6,0,15,5,150,"Сидя, начните с гантелями у груди ладонями к себе; вращая кисти, выжмите вверх до полного разгибания и опустите обратно.",плечи,3.9,Arnold press,Средний,Сваливание локтей; сведение с ударом; излишний прогиб.
Фермерская прогулка,4,20,0,5,180,"Возьмите тяжёлые гантели, корпус высокий; идите ровно короткими шагами, удерживая кор и нейтральную спину.",хват/кор/трапеции,3.6,Farmer's walk,Средний,Сутулость; переваливание корпуса; стук снарядов о ноги; задержка дыхания.
Гиперэкстензия,50,0,15,4,180,"Застегнитесь в римском стуле; поднимайте корпус до линии с ногами, не переразгибая, опускайте контролируемо.",разгибатели спины/ягодицы,3.6,Back extension,Новичок,Переразгибание вверху; движение за счёт спины; слишком быстрый темп.
Кикбэк на трицепс с гантелью,8,0,12,3,90,"Наклоните корпус, локоть прижмите и поднимите вверх; разгибайте руку назад до полного сокращения трицепса, возвращайте плавно.",трицепс,4.4,Dumbbell triceps kickback,Новичок,Движение плечом; локоть опускается; чрезмерный вес.
Кикбэк на трицепс на блоке (канате),10,0,12,3,90,"Корпус в наклоне, локти фиксированы; разгибайте предплечья назад, разводя концы каната в конце амплитуды.",трицепс,4.5,Cable triceps kickback (rope),Новичок,Разведение локтей; движение корпусом; излом запястий.
Кикбэк на трицепс с опорой на скамью,6,0,15,4,60,Опирайтесь на скамью свободной рукой; из положения наклона разгибайте руку с гантелью назад до полного выпрямления.,трицепс,4.3,Bench-supported dumbbell triceps kickback,Новичок,Округление спины; локоть «уезжает»; махи.
Кикбэк на трицепс в наклоне (поочерёдно),6,0,12,4,60,"В наклоне разгибайте поочерёдно каждую руку назад, фиксируя локоть и избегая раскачки корпуса.",трицепс,4.4,Alternating dumbbell triceps kickback,Новичок,Раскачка корпусом; опускание локтя; неполная амплитуда.
Жим штанги лёжа узким хватом,70,0,10,3,150,"Лягте на скамью, лопатки сведены, стопы упираются; опустите штангу к нижней груди и выжмите вверх, не теряя напряжение. Держите локти ближе к корпусу и контролируйте траекторию.",грудь/плечи/трицепс,3.5,Barbell bench press — close-grip,Средний,Развод локтей; отрыв стоп; отскок от груди; гиперпрогиб в пояснице; неполная пауза; отсутствует контроль темпа.
Жим гантелей на наклонной скамье поочерёдно,12,0,15,3,120,"Лягте на наклон 30–45°, гантели у груди; выжмите по дуге вверх и сведите без удара, опускайте контролируемо. Выполняйте руками поочерёдно, удерживая корпус стабильным.",верхняя грудь/плечи,3.8,Incline dumbbell press — alternating,Средний,Сведение с ударом; провал плеч; опускание слишком низко; потеря контроля лопаток; отсутствует контроль темпа.
Разводка гантелей лёжа поочерёдно,4,0,15,3,60,"Лягте на скамью, лёгкий сгиб в локтях; разводите руки по широкой дуге до растяжения груди и сводите обратно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",грудь,4.4,Dumbbell flye — alternating,Новичок,Слишком прямые руки; рывки; чрезмерный вес; превращение движения в жим; отсутствует контроль темпа.
Сведение рук в кроссовере на верхнем блоке,25,0,6,3,60,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение. Держите корпус неподвижным, тяните лопатками.",грудь,4.2,Cable crossover — high pulley,Новичок,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории; отсутствует контроль темпа.
Подтягивания с отягощением,10,0,15,3,90,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук. Добавьте пояс/жилет с весом, сохраняйте технику.",спина/бицепс,3.8,Pull-up — weighted,Средний,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки; отсутствует контроль темпа.
Тяга верхнего блока на верхнем блоке,20,0,6,5,180,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо. Держите корпус неподвижным, тяните лопатками.",широчайшие/бицепс,3.7,Lat pulldown — high pulley,Новичок,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса; отсутствует контроль темпа.
Тяга штанги в наклоне узким хватом,30,0,8,3,180,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков. Держите локти ближе к корпусу и контролируйте траекторию.",спина/задняя дельта,4.2,Bent-over barbell row — close-grip,Средний,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы; отсутствует контроль темпа.
Гребля на тренажёре с паузой у груди/внизу,50,30,0,5,60,"Сядьте, стопы закреплены, спина нейтральна; толчок ногами, затем тяга к солнечному сплетению, верните в обратной последовательности. Короткая пауза у ограничителя, не отбивайте вес.",спина/кардио,4.7,Rowing machine — with bottom pause,Средний,Тянуть одними руками; ранний подсрыв корпусом; провал колен внутрь; сгибание запястий; отсутствует контроль темпа.
Становая тяга узким хватом,60,0,8,3,180,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Держите локти ближе к корпусу и контролируйте траекторию.",задняя цепь/спина/ягодицы,4.6,Deadlift — close-grip,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа.
Румынская тяга узким хватом,70,0,10,3,180,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Держите локти ближе к корпусу и контролируйте траекторию.",бёдра/ягодицы,3.6,Romanian deadlift — close-grip,Средний,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа.
Приседания со штангой узким хватом,50,0,6,5,90,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Держите локти ближе к корпусу и контролируйте траекторию.",квадрицепсы/ягодицы/кор,4.6,Back squat — close-grip,Средний,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа.
Жим ногами с паузой у груди/внизу,50,0,12,4,150,"Стопы на платформе, поясница прижата; опускайте платформу до угла 90° в коленях и выжимайте, не выпрямляя колени в «замок». Короткая пауза у ограничителя, не отбивайте вес.",квадрицепсы/ягодицы,4.0,Leg press — with bottom pause,Средний,Сведение колен; отрыв поясницы; замок в коленях; слишком узкая постановка; отсутствует контроль темпа.
Выпады поочерёдно,20,0,10,4,90,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Выполняйте руками поочерёдно, удерживая корпус стабильным.",ягодицы/квадрицепсы,4.6,Lunge — alternating,Новичок,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа.
Гакк-присед с паузой у груди/внизу,30,0,8,3,180,"Спина прижата к спинке, стопы чуть впереди; присядьте до параллели и выжмите, держа колени в линии носков. Короткая пауза у ограничителя, не отбивайте вес.",квадрицепсы,3.9,Hack squat — with bottom pause,Средний,Отрыв пяток; колени слишком вперёд; прогиб поясницы; короткая амплитуда; отсутствует контроль темпа.
Сгибания ног лёжа с паузой у груди/внизу,30,0,10,5,150,"Лягте лицом вниз, валики над пятками; сгибайте колени до полного сокращения бицепса бедра и опускайте контролируемо. Короткая пауза у ограничителя, не отбивайте вес.",бицепс бедра,4.2,Lying leg curl — with bottom pause,Средний,Отрыв таза; рывки; движение тазом; отсутствие паузы; отсутствует контроль темпа.
Разгибания ног с паузой у груди/внизу,40,0,6,3,180,"Сядьте, валик над голенями; разгибайте колени до верхней точки без рывка, опускайте с контролем. Короткая пауза у ограничителя, не отбивайте вес.",квадрицепсы,4.4,Leg extension — with bottom pause,Средний,Рывки; чрезмерный вес; разведение колен; болтающиеся стопы; отсутствует контроль темпа.
Подъёмы на носки с паузой у груди/внизу,40,0,10,3,150,"Встаньте носками на платформу; поднимайтесь на носки, делая паузу вверху, опускайтесь до растяжения икр. Короткая пауза у ограничителя, не отбивайте вес.",икры,3.8,Calf raise — with bottom pause,Средний,Короткая амплитуда; пружинение; согнутые колени; разворот носков без контроля; отсутствует контроль темпа.
Жим штанги стоя узким хватом,40,0,6,5,180,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Держите локти ближе к корпусу и контролируйте траекторию.",плечи/трицепс,4.5,Overhead press — close-grip,Средний,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа.
Жим гантелей сидя поочерёдно,12,0,10,5,150,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Выполняйте руками поочерёдно, удерживая корпус стабильным.",плечи,4.6,Seated dumbbell shoulder press — alternating,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа.
Махи гантелями в стороны поочерёдно,10,0,6,3,120,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",средняя дельта,4.0,Dumbbell lateral raise — alternating,Новичок,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа.
Тяга к подбородку узким хватом,70,0,6,3,120,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Держите локти ближе к корпусу и контролируйте траекторию.",плечи/трапеции,4.7,Upright row — close-grip,Средний,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа.
Шраги поочерёдно,16,0,12,4,150,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Выполняйте руками поочерёдно, удерживая корпус стабильным.",трапеции,4.1,Shrug — alternating,Новичок,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа.
Подъём на бицепс со штангой узким хватом,60,0,12,4,90,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Держите локти ближе к корпусу и контролируйте траекторию.",бицепс,4.6,Barbell biceps curl — close-grip,Средний,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа.
Подъём на бицепс молот поочерёдно,6,0,6,3,120,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс/предплечья,3.8,Hammer curl — alternating,Новичок,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа.
Концентрированный подъём на бицепс поочерёдно,4,0,12,4,150,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Выполняйте руками поочерёдно, удерживая корпус стабильным.",бицепс,3.8,Concentration curl — alternating,Новичок,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа.
Французский жим узким хватом,30,0,12,5,120,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Держите локти ближе к корпусу и контролируйте траекторию.",трицепс,3.8,Lying triceps extension — close-grip,Средний,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа.
Разгибания на блоке на верхнем блоке,15,0,15,4,150,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Держите корпус неподвижным, тяните лопатками.",трицепс,5.0,Triceps pushdown — high pulley,Новичок,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа.
Отжимания на брусьях с отягощением,0,0,12,3,90,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Добавьте пояс/жилет с весом, сохраняйте технику.",грудь/трицепс,4.1,Dip — weighted,Средний,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа.
Отжимания с отягощением,0,0,8,5,90,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Добавьте пояс/жилет с весом, сохраняйте технику.",грудь/плечи/трицепс,5.0,Push-up — weighted,Средний,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа.
Скручивания с отягощением,5,0,15,3,120,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху. Добавьте пояс/жилет с весом, сохраняйте технику.",пресс,3.5,Crunch — weighted,Средний,Тянуть шею руками; рывки; большой размах вместо подкручивания; отсутствует контроль темпа.
Подъём ног в висе с отягощением,10,0,12,5,120,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно. Добавьте пояс/жилет с весом, сохраняйте технику.",нижний пресс,3.6,Hanging leg raise — weighted,Средний,Махи ногами; прогиб поясницы; отсутствие подкрутки таза; отсутствует контроль темпа.
Планка с отягощением,10,30,0,5,180,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте. Добавьте пояс/жилет с весом, сохраняйте технику.",кор,3.7,Plank — weighted,Средний,Провисание поясницы; поднятый таз; разведение лопаток; отсутствует контроль темпа.
Русский твист с отягощением,5,20,0,4,180,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам. Добавьте пояс/жилет с весом, сохраняйте технику.",косые мышцы живота,4.3,Russian twist — weighted,Средний,Скругление спины; вращение одними руками; слишком быстрый темп; отсутствует контроль темпа.
Берпи с отягощением,10,45,0,3,150,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой. Добавьте пояс/жилет с весом, сохраняйте технику.",всё тело/кардио,4.4,Burpee — weighted,Средний,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху; отсутствует контроль темпа.
Скакалка с отягощением,5,30,0,3,90,"Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично. Добавьте пояс/жилет с весом, сохраняйте технику.",кардио/икры,3.5,Jump rope — weighted,Средний,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку; отсутствует контроль темпа.
Тяга каната к лицу на верхнем блоке,5,0,10,5,60,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко. Держите корпус неподвижным, тяните лопатками.",задняя дельта/верх спины,4.0,Face pull — high pulley,Новичок,Локти низко; тянуть руками без лопаток; нет разведения кистей; отсутствует контроль темпа.
Обратные разведения в тренажёре с паузой у груди/внизу,30,0,8,5,60,"Сядьте лицом к тренажёру; разводите рукояти, сводя лопатки, удерживайте паузу и возвращайте контролируемо. Короткая пауза у ограничителя, не отбивайте вес.",задняя дельта,4.0,Reverse pec deck — with bottom pause,Средний,Работает трапеция вместо дельт; рывки; нет паузы в пик-сокращении; отсутствует контроль темпа.
Тяга гантели в наклоне поочерёдно,10,0,6,3,180,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка. Выполняйте руками поочерёдно, удерживая корпус стабильным.",широчайшие/средняя спина,4.3,Dumbbell row — alternating,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу; отсутствует контроль темпа.
Хип-траст узким хватом,40,0,10,4,180,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте. Держите локти ближе к корпусу и контролируйте траекторию.",ягодицы,4.1,Hip thrust — close-grip,Средний,Чрезмерный прогиб; короткая пауза; неверная постановка стоп; отсутствует контроль темпа.
