Название,Вес,Время,Количество повторений,Время отдыха между повторениями,Краткое описание,Целевые мышцы
Тяга верхнего блока к груди,45,0,12,75,Имитирует подтягивания с регулируемым весом.,спина/бицепс
Тяга нижнего блока к поясу,50,0,12,75,Горизонтальная тяга для середины спины.,спина/бицепс
Тяга Т-грифа,65,0,10,90,Глубокая проработка центральной части спины.,спина
Подтягивания широким хватом,0,0,10,90,Акцент на широчайшие с собственным весом.,спина/бицепс
Подтягивания обратным хватом,0,0,12,90,Включают бицепс и нижнюю спину.,спина/бицепс
Подтягивания нейтральным хватом,0,0,10,90,Нейтральный хват щадит плечи.,спина/предплечья
Гребля в тренажере сидя,60,0,12,75,Стабильная тяга для средней спины.,спина/кор
Гиперэкстензия,0,0,15,60,Укрепляет поясницу и ягодицы.,спина/ягодицы
Обратные гиперэкстензии,0,0,15,60,Смещение акцента на ягодичные.,ягодицы/спина
Пуловер в кроссовере,20,0,15,60,Укрепляет широчайшие в верхней точке.,спина/грудь
Планка,0,60,0,45,Изометрическое удержание корпуса.,кор
Боковая планка,0,45,0,45,Изолирует косые мышцы живота.,кор
Планка с подъемом ноги,0,40,0,45,Добавляет нагрузку на ягодицы и корпус.,кор/ягодицы
Планка с касанием плеч,0,40,0,45,Развивает стабильность и плечевой пояс.,кор/плечи
Подъем ног в висе,0,0,15,60,Сильный стимул для нижнего пресса.,пресс/кор
Подъем коленей сидя,0,0,20,60,Упражнение в капитанском стуле.,пресс
Подъем корпуса на римском стуле,0,0,20,60,Работа на верхний пресс с поддержкой.,пресс
Скручивания на полу,0,0,25,45,Базовые скручивания для пресса.,пресс
Скручивания на блоке,25,0,15,60,Нагружает пресс с дополнительным весом.,пресс
Русские скручивания,0,0,30,45,Ротационные движения для косых мышц.,пресс/кор
Велосипедная скрутка,0,0,30,45,Чередование касаний локоть колено.,пресс/кор
Подъемы таза,0,0,20,60,Глют мост с собственным весом.,ягодицы/кор
Ягодичный мост со штангой,50,0,12,90,Высокая активация ягодичных.,ягодицы/ноги
Хип thrust на одной ноге,0,0,12,75,Изолированная нагрузка на ягодицы.,ягодицы/кор
Отведение бедра в тренажере,20,0,15,60,Прорабатывает среднюю ягодичную.,ягодицы/бедра
Приведение бедра в тренажере,15,0,15,60,Укрепляет приводящие мышцы.,внутренние бедра
Отведение ноги с резинкой,0,0,20,45,Мобильная работа на ягодицы.,ягодицы/бедра
Разведение ног в тренажере,30,0,15,60,Фокус на наружной поверхности бедра.,ягодицы
Жим Арнольда,24,0,10,90,Комбинированный жим для всех пучков плеч.,плечи
Армейский жим стоя,35,0,8,90,Вертикальный жим штанги над головой.,плечи/трицепс
Жим гантелей сидя,26,0,10,90,Изолирует плечи с минимальной нагрузкой на спину.,плечи
Жим штанги стоя за головой,40,0,8,120,Классический жим на средние дельты.,плечи
Подъем гантелей через стороны,10,0,15,60,Изоляция средних дельт.,плечи
Подъем гантелей перед собой,10,0,12,60,Укрепляет передние дельты.,плечи
Тяга к подбородку узким хватом,35,0,12,75,Работает трапеции и плечи.,плечи/трапеции
Разведения в тренажере на заднюю дельту,12,0,15,60,Фокус на задних дельтах.,плечи/спина
Шраги со штангой,60,0,15,75,Повышают массу трапеций.,трапеции
Шраги с гантелями,32,0,15,75,Свободная траектория для трапеций.,трапеции
Подъем на бицепс со штангой,35,0,10,75,Базовое упражнение на бицепс.,бицепс
Подъем гантелей на бицепс поочередно,12,0,12,75,Чередование рук повышает контроль.,бицепс
Концентрированный подъем,14,0,12,75,Полностью изолирует бицепс.,бицепс
Подъемы на скамье Скотта,30,0,10,75,Снимает инерцию и нагружает бицепс.,бицепс
Молотковые сгибания,16,0,12,75,Развивает брахиалис и предплечья.,бицепс/предплечья
Канатные сгибания на бицепс,20,0,15,75,Постоянное напряжение за счет блока.,бицепс
Жим узким хватом,45,0,10,90,Компаунд на трицепс и грудь.,трицепс/грудь
Французский жим лежа,30,0,12,90,Изолирует длинную головку трицепса.,трицепс
Французский жим сидя с гантелью,16,0,12,75,Удобный вариант для одной руки.,трицепс
Разгибание на блоке,25,0,15,60,Верхний блок для трицепса.,трицепс
Разгибание руки с гантелью из-за головы,12,0,12,60,Укрепляет трицепс в растянутом положении.,трицепс
Отжимания узким хватом,0,0,20,75,Собственный вес для трицепса.,трицепс/грудь
Обратные отжимания на скамье,0,0,15,75,Работают трицепсы и плечи.,трицепс/плечи
Трицепс дипсы в тренажере,0,0,12,75,Вертикальные отжимания в тренажере.,трицепс
Бёрпи,0,45,15,60,Комбинированное кардио на все тело.,кардио/все тело
Горизонтальный бег,0,45,0,45,Высокий темп в упоре лёжа.,кардио/кор
Прыжки на тумбу,0,0,12,75,Взрывная работа ног.,ноги/кардио
Баттл-ропы,0,40,0,60,Интервалы с канатами для кардио.,кардио/плечи
Скакалка,0,120,0,60,Легкое кардио с координацией.,кардио
Беговая дорожка интервал,0,300,0,90,Интервальный бег для выносливости.,кардио
Эллиптический тренажер,0,300,0,90,Низкоударное кардио.,кардио
Велоэргометр,0,240,0,90,Кардио на велоэргометре средней интенсивности.,кардио
Гребля на тренажере кардио,0,180,0,90,Кардио нагрузка с вовлечением спины.,кардио/спина
Трастеры,30,0,12,90,Комбинация приседа и жима.,ноги/плечи
Турецкий подъем,16,0,8,90,Комплекс на стабильность и силу.,кор/плечи
Ходьба фермера,30,60,0,90,Носка тяжести для хвата и корпуса.,предплечья/кор
Тяга штанги к груди стоя,50,0,6,120,Взрывная тяга из виса.,плечи/спина
Рывок штанги силовой,45,0,5,150,Олимпийское движение на координацию.,все тело
Толчок штанги,60,0,5,150,Двухфазное олимпийское упражнение.,все тело
Жим платформы одной ногой,80,0,12,120,Изолирует каждую ногу отдельно.,ноги
Разгибание ног в блоке стоя,20,0,15,75,Нагружает квадрицепс по одной ноге.,ноги
Супермен,0,45,0,45,Динамическое разгибание спины.,спина
Альпинист на предплечьях,0,45,0,45,Кардио упражнение с упором на корпус.,кардио/кор
